Source Name	Characteristics[organism]	Characteristics[disease]	Characteristics[organism part]	Characteristics[cptac accession number]	Characteristics[data file]	Characteristics[associated file uri]	Characteristics[fraction identifier]	Characteristics[instrument]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[cleavage agent details]	Material Type	Extract Name	Assay Name	Description	Comment[Label]	Comment[fragment mass tolerance] 	Comment[precursor mass tolerance]
Sample 11	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F11.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F11.raw	11	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:14;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 11	Sample 11				
Sample 12	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F12.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F12.raw	12	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:15;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 12	Sample 12				
Sample 13	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F13.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F13.raw	13	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:16;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 13	Sample 13				
Sample 14	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F14.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F14.raw	14	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:17;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 14	Sample 14				
Sample 15	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F15.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F15.raw	15	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:18;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 15	Sample 15				
Sample 16	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F16.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F16.raw	16	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:19;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 16	Sample 16				
Sample 17	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F17.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F17.raw	17	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:20;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 17	Sample 17				
Sample 18	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F18.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F18.raw	18	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:21;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 18	Sample 18				
Sample 19	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F19.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F19.raw	19	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:22;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 19	Sample 19				
Sample 20	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F20.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F20.raw	20	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:23;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 20	Sample 20				
Sample 21	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F21.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F21.raw	21	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:24;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 21	Sample 21				
Sample 22	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F22.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F22.raw	22	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:25;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 22	Sample 22				
Sample 23	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F23.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F23.raw	23	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:26;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 23	Sample 23				
Sample 24	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F24.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F24.raw	24	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:27;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 24	Sample 24				
Sample 25	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F25.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F25.raw	25	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:28;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 25	Sample 25				
Sample 26	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F26.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F26.raw	26	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:29;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 26	Sample 26				
Sample 27	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F27.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F27.raw	27	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:30;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 27	Sample 27				
Sample 28	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180320_fusion_zhw_TMT10_liver01_pho_F28.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F28.raw	28	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:31;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 28	Sample 28				
